peak_index,original_peak,drawn_peak,factor
37,1.0,0.0,0.0
110,-1.0,0.0,-0.0
184,1.0,0.0,0.0
257,-1.0,0.0,-0.0
331,1.0,0.0,0.0
404,-1.0,0.0,-0.0
478,1.0,0.0,0.0
551,-1.0,0.0,-0.0
625,1.0,0.0,0.0
698,-1.0,0.0,-0.0
772,1.0,0.0,0.0
845,-1.0,0.0,-0.0
919,1.0,0.0,0.0
992,-1.0,0.0,-0.0
1066,1.0,0.0,0.0
1139,-1.0,0.0,-0.0
1213,1.0,0.0,0.0
1286,-1.0,0.0,-0.0
1360,1.0,0.0,0.0
1433,-1.0,0.0,-0.0
1507,1.0,0.0,0.0
1580,-1.0,0.0,-0.0
1654,1.0,0.0,0.0
1727,-1.0,0.0,-0.0
1801,1.0,0.0,0.0
1874,-1.0,0.0,-0.0
1948,1.0,0.0,0.0
2021,-1.0,0.0,-0.0
2095,1.0,0.0,0.0
2168,-1.0,0.0,-0.0
2242,1.0,0.0,0.0
2315,-1.0,0.0,-0.0
2389,1.0,0.0,0.0
2462,-1.0,0.0,-0.0
2536,1.0,0.0,0.0
2609,-1.0,0.0,-0.0
2683,1.0,0.0,0.0
2756,-1.0,0.0,-0.0
2830,1.0,0.0,0.0
2903,-1.0,0.0,-0.0
2977,1.0,0.0,0.0
3050,-1.0,0.0,-0.0
3124,1.0,0.0,0.0
3197,-1.0,0.0,-0.0
3271,1.0,0.0,0.0
3344,-1.0,0.0,-0.0
3418,1.0,0.0,0.0
3491,-1.0,0.0,-0.0
3565,1.0,0.0,0.0
3638,-1.0,0.0,-0.0
3712,1.0,0.0,0.0
3785,-1.0,0.0,-0.0
3859,1.0,0.0,0.0
3932,-1.0,0.0,-0.0
4006,1.0,0.0,0.0
4079,-1.0,0.0,-0.0
4153,1.0,0.0,0.0
4226,-1.0,0.0,-0.0
4300,1.0,0.0,0.0
4373,-1.0,0.0,-0.0
4447,1.0,0.0,0.0
4520,-1.0,0.0,-0.0
4594,1.0,0.0,0.0
4667,-1.0,0.0,-0.0
4741,1.0,0.0,0.0
