peak_index,original_peak,drawn_peak,factor
1288,-3.4565596861443806e-05,0.0,-0.0
1306,0.0,0.0,1.0
1351,-6.913119372288761e-05,0.0,-0.0
1423,0.0,0.0,1.0
1426,-1.7282798430721903e-05,0.0,-0.0
1429,0.0,0.0,1.0
1443,-3.4565596861443806e-05,0.0,-0.0
1457,0.0,0.0,1.0
1468,-3.4565596861443806e-05,0.0,-0.0
1480,0.0,0.0,1.0
1497,-3.4565596861443806e-05,0.0,-0.0
1512,0.0,0.0,1.0
1532,-6.913119372288761e-05,0.0,-0.0
1538,-3.4565596861443806e-05,0.0,-0.0
1542,-6.913119372288761e-05,0.0,-0.0
1547,-3.4565596861443806e-05,0.0,-0.0
1551,-5.184839529216571e-05,0.0,-0.0
1574,0.0,0.0,1.0
1593,-5.184839529216571e-05,0.0,-0.0
1614,0.0,0.0,1.0
1645,-6.913119372288761e-05,0.0,-0.0
1650,-3.4565596861443806e-05,0.0,-0.0
1659,-6.913119372288761e-05,0.0,-0.0
1673,-3.4565596861443806e-05,0.0,-0.0
1697,-0.00013826238744577522,0.0,-0.0
1705,-0.00010369679058433142,0.0,-0.0
1714,-0.00015554518587649713,0.0,-0.0
1747,-0.00010369679058433142,0.0,-0.0
1756,-0.00013826238744577522,0.0,-0.0
1764,-0.00012097958901505332,0.0,-0.0
1767,-0.00013826238744577522,0.0,-0.0
1770,-0.00010369679058433142,0.0,-0.0
1775,-0.00013826238744577522,0.0,-0.0
1784,-0.00010369679058433142,0.0,-0.0
1787,-0.00013826238744577522,0.0,-0.0
1804,-3.4565596861443806e-05,0.0,-0.0
1811,-8.641399215360951e-05,0.0,-0.0
1816,-6.913119372288761e-05,0.0,-0.0
1822,-8.641399215360951e-05,0.0,-0.0
1837,0.0,0.0,1.0
1849,-3.4565596861443806e-05,0.0,-0.0
1862,3.4565596861443806e-05,0.0,0.0
1867,0.0,0.0,1.0
1878,6.913119372288761e-05,0.0,0.0
1887,3.4565596861443806e-05,0.0,0.0
1900,0.00010369679058433142,0.0,0.0
1905,6.913119372288761e-05,0.0,0.0
1910,0.00010369679058433142,0.0,0.0
1938,0.0,0.0,1.0
1940,1.7282798430721903e-05,0.0,0.0
1942,0.0,0.0,1.0
1970,0.00024195917803010664,0.0,0.0
1998,-3.4565596861443806e-05,0.0,-0.0
2026,0.00017282798430721903,0.0,0.0
2031,0.00013826238744577522,0.0,0.0
2038,0.00019011078273794093,0.0,0.0
2051,0.0,0.0,1.0
2056,3.4565596861443806e-05,0.0,0.0
2060,0.0,0.0,1.0
2063,1.7282798430721903e-05,0.0,0.0
2066,0.0,0.0,1.0
2085,0.00012097958901505332,0.0,0.0
2092,5.184839529216571e-05,0.0,0.0
2097,0.00010369679058433142,0.0,0.0
2107,6.913119372288761e-05,0.0,0.0
2123,0.00012097958901505332,0.0,0.0
2124,0.00010369679058433142,0.0,0.0
2132,0.00013826238744577522,0.0,0.0
2138,0.00012097958901505332,0.0,0.0
2141,0.00013826238744577522,0.0,0.0
2157,3.4565596861443806e-05,0.0,0.0
2164,8.641399215360951e-05,0.0,0.0
2193,-3.4565596861443806e-05,0.0,-0.0
2221,0.00017282798430721903,0.0,0.0
2223,0.00015554518587649713,0.0,0.0
2226,0.00020739358116866283,0.0,0.0
2247,8.641399215360951e-05,0.0,0.0
2266,0.00032837317018371615,0.0,0.0
2269,0.00031109037175299425,0.0,0.0
2274,0.00032837317018371615,0.0,0.0
2278,0.00027652477489155045,0.0,0.0
2280,0.00029380757332227235,0.0,0.0
2295,0.00012097958901505332,0.0,0.0
2305,0.00017282798430721903,0.0,0.0
2316,0.00010369679058433142,0.0,0.0
2324,0.00017282798430721903,0.0,0.0
2333,0.00010369679058433142,0.0,0.0
2341,0.00017282798430721903,0.0,0.0
2348,0.00010369679058433142,0.0,0.0
2353,0.00017282798430721903,0.0,0.0
2359,0.00013826238744577522,0.0,0.0
2371,0.00025924197646082854,0.0,0.0
2393,0.00012097958901505332,0.0,0.0
2414,0.00027652477489155045,0.0,0.0
2417,0.00025924197646082854,0.0,0.0
2428,0.00034565596861443806,0.0,0.0
2447,0.00010369679058433142,0.0,0.0
2453,0.00017282798430721903,0.0,0.0
2458,0.00013826238744577522,0.0,0.0
2465,0.00020739358116866283,0.0,0.0
2469,0.00017282798430721903,0.0,0.0
2475,0.00020739358116866283,0.0,0.0
2484,0.00010369679058433142,0.0,0.0
2487,0.00013826238744577522,0.0,0.0
2491,0.00010369679058433142,0.0,0.0
2502,0.00022467637959938474,0.0,0.0
2511,0.00013826238744577522,0.0,0.0
2515,0.00017282798430721903,0.0,0.0
2521,0.00012097958901505332,0.0,0.0
2527,0.00020739358116866283,0.0,0.0
2540,0.00013826238744577522,0.0,0.0
2558,0.00034565596861443806,0.0,0.0
2561,0.00031109037175299425,0.0,0.0
2566,0.00038022156547588186,0.0,0.0
2577,0.00013826238744577522,0.0,0.0
2583,0.00020739358116866283,0.0,0.0
2589,0.00013826238744577522,0.0,0.0
2593,0.00017282798430721903,0.0,0.0
2597,0.00013826238744577522,0.0,0.0
2599,0.00015554518587649713,0.0,0.0
2601,0.00013826238744577522,0.0,0.0
2603,0.00015554518587649713,0.0,0.0
2606,0.00013826238744577522,0.0,0.0
2611,0.00017282798430721903,0.0,0.0
2615,0.00013826238744577522,0.0,0.0
2624,0.00027652477489155045,0.0,0.0
2642,0.00012097958901505332,0.0,0.0
2644,0.00013826238744577522,0.0,0.0
2656,0.0,0.0,1.0
2658,1.7282798430721903e-05,0.0,0.0
2661,-1.7282798430721903e-05,0.0,-0.0
