peak_index,original_peak,drawn_peak,factor
1322,1.5309949936463707e-05,0.0,0.0
1348,-1.5309949936463707e-05,0.0,-0.0
1363,4.5929849809391124e-05,0.0,0.0
1365,3.0619899872927414e-05,0.0,0.0
1370,4.5929849809391124e-05,0.0,0.0
1375,3.0619899872927414e-05,0.0,0.0
1381,6.123979974585483e-05,0.0,0.0
1385,4.5929849809391124e-05,0.0,0.0
1392,9.185969961878225e-05,0.0,0.0
1398,3.0619899872927414e-05,0.0,0.0
1399,4.5929849809391124e-05,0.0,0.0
1401,0.0,0.0,1.0
1403,1.5309949936463707e-05,0.0,0.0
1405,0.0,0.0,1.0
1409,6.123979974585483e-05,0.0,0.0
1410,4.5929849809391124e-05,0.0,0.0
1415,9.185969961878225e-05,0.0,0.0
1420,3.0619899872927414e-05,0.0,0.0
1422,4.5929849809391124e-05,0.0,0.0
1425,0.0,0.0,1.0
1426,3.0619899872927414e-05,0.0,0.0
1430,-1.5309949936463707e-05,0.0,-0.0
1432,3.0619899872927414e-05,0.0,0.0
1439,-4.5929849809391124e-05,0.0,-0.0
1441,-1.5309949936463707e-05,0.0,-0.0
1443,-6.123979974585483e-05,0.0,-0.0
1449,3.0619899872927414e-05,0.0,0.0
1451,0.0,0.0,1.0
1456,6.123979974585483e-05,0.0,0.0
1458,1.5309949936463707e-05,0.0,0.0
1459,3.0619899872927414e-05,0.0,0.0
1462,-1.5309949936463707e-05,0.0,-0.0
1464,6.123979974585483e-05,0.0,0.0
1465,3.0619899872927414e-05,0.0,0.0
1472,0.0001837193992375645,0.0,0.0
1480,9.185969961878225e-05,0.0,0.0
1481,0.00012247959949170966,0.0,0.0
1484,7.654974968231854e-05,0.0,0.0
1486,0.00010716964955524595,0.0,0.0
1490,3.0619899872927414e-05,0.0,0.0
1492,7.654974968231854e-05,0.0,0.0
1501,-7.654974968231854e-05,0.0,-0.0
1502,-6.123979974585483e-05,0.0,-0.0
1503,-9.185969961878225e-05,0.0,-0.0
1505,-3.0619899872927414e-05,0.0,-0.0
1507,-6.123979974585483e-05,0.0,-0.0
1512,1.5309949936463707e-05,0.0,0.0
1515,0.0,0.0,1.0
1516,1.5309949936463707e-05,0.0,0.0
1518,0.0,0.0,1.0
1520,4.5929849809391124e-05,0.0,0.0
1522,1.5309949936463707e-05,0.0,0.0
1524,4.5929849809391124e-05,0.0,0.0
1526,-1.5309949936463707e-05,0.0,-0.0
1535,0.00013778954942817337,0.0,0.0
1538,9.185969961878225e-05,0.0,0.0
1539,0.00010716964955524595,0.0,0.0
1541,3.0619899872927414e-05,0.0,0.0
1543,4.5929849809391124e-05,0.0,0.0
1545,3.0619899872927414e-05,0.0,0.0
1546,6.123979974585483e-05,0.0,0.0
1549,-4.5929849809391124e-05,0.0,-0.0
1550,-3.0619899872927414e-05,0.0,-0.0
1552,-0.00010716964955524595,0.0,-0.0
1555,-9.185969961878225e-05,0.0,-0.0
1559,-0.00013778954942817337,0.0,-0.0
1561,-4.5929849809391124e-05,0.0,-0.0
1562,-6.123979974585483e-05,0.0,-0.0
1564,-3.0619899872927414e-05,0.0,-0.0
1567,-6.123979974585483e-05,0.0,-0.0
1569,3.0619899872927414e-05,0.0,0.0
1573,-9.185969961878225e-05,0.0,-0.0
1575,-4.5929849809391124e-05,0.0,-0.0
1576,-6.123979974585483e-05,0.0,-0.0
1588,0.00019902934917402821,0.0,0.0
1590,0.00010716964955524595,0.0,0.0
1592,0.00012247959949170966,0.0,0.0
1594,9.185969961878225e-05,0.0,0.0
1595,0.00010716964955524595,0.0,0.0
1597,7.654974968231854e-05,0.0,0.0
1598,9.185969961878225e-05,0.0,0.0
1602,0.0,0.0,1.0
1603,4.5929849809391124e-05,0.0,0.0
1606,-4.5929849809391124e-05,0.0,-0.0
1607,-3.0619899872927414e-05,0.0,-0.0
1609,-7.654974968231854e-05,0.0,-0.0
1610,-6.123979974585483e-05,0.0,-0.0
1613,-0.00012247959949170966,0.0,-0.0
1615,-9.185969961878225e-05,0.0,-0.0
1616,-0.00013778954942817337,0.0,-0.0
1622,4.5929849809391124e-05,0.0,0.0
1625,-1.5309949936463707e-05,0.0,-0.0
1628,3.0619899872927414e-05,0.0,0.0
1631,-7.654974968231854e-05,0.0,-0.0
1633,1.5309949936463707e-05,0.0,0.0
1636,-0.00012247959949170966,0.0,-0.0
1640,1.5309949936463707e-05,0.0,0.0
1642,-3.0619899872927414e-05,0.0,-0.0
1646,9.185969961878225e-05,0.0,0.0
1661,-0.00019902934917402821,0.0,-0.0
1663,-0.00012247959949170966,0.0,-0.0
1665,-0.0002143392991104919,0.0,-0.0
1667,-0.00013778954942817337,0.0,-0.0
1669,-0.0001530994993646371,0.0,-0.0
1671,-0.00010716964955524595,0.0,-0.0
1673,-0.00013778954942817337,0.0,-0.0
1675,-6.123979974585483e-05,0.0,-0.0
1677,-0.00013778954942817337,0.0,-0.0
1685,0.00019902934917402821,0.0,0.0
1695,-3.0619899872927414e-05,0.0,-0.0
1698,9.185969961878225e-05,0.0,0.0
1700,0.0,0.0,1.0
1702,6.123979974585483e-05,0.0,0.0
1704,4.5929849809391124e-05,0.0,0.0
1705,7.654974968231854e-05,0.0,0.0
1709,-9.185969961878225e-05,0.0,-0.0
1710,-7.654974968231854e-05,0.0,-0.0
1715,-0.0002449591989834193,0.0,-0.0
1716,-0.00022964924904695562,0.0,-0.0
1718,-0.00032150894866573784,0.0,-0.0
1723,-0.00016840944930110078,0.0,-0.0
1726,-0.00022964924904695562,0.0,-0.0
1735,0.0,0.0,1.0
1736,-1.5309949936463707e-05,0.0,-0.0
1739,3.0619899872927414e-05,0.0,0.0
1741,-0.00012247959949170966,0.0,-0.0
1743,-3.0619899872927414e-05,0.0,-0.0
1744,-9.185969961878225e-05,0.0,-0.0
1747,1.5309949936463707e-05,0.0,0.0
1749,-7.654974968231854e-05,0.0,-0.0
1751,-3.0619899872927414e-05,0.0,-0.0
1752,-4.5929849809391124e-05,0.0,-0.0
1756,1.5309949936463707e-05,0.0,0.0
1759,-4.5929849809391124e-05,0.0,-0.0
1761,1.5309949936463707e-05,0.0,0.0
1773,-0.00045929849809391124,0.0,-0.0
1775,-0.00026026914891988303,0.0,-0.0
1779,-0.0003827487484115927,0.0,-0.0
1785,-0.00019902934917402821,0.0,-0.0
1787,-0.00026026914891988303,0.0,-0.0
1789,-0.0001837193992375645,0.0,-0.0
1790,-0.00019902934917402821,0.0,-0.0
1792,-0.00010716964955524595,0.0,-0.0
1793,-0.00012247959949170966,0.0,-0.0
1797,0.00013778954942817337,0.0,0.0
1798,0.00010716964955524595,0.0,0.0
1800,0.0002143392991104919,0.0,0.0
1806,-0.00010716964955524595,0.0,-0.0
1811,1.5309949936463707e-05,0.0,0.0
1812,-4.5929849809391124e-05,0.0,-0.0
1814,1.5309949936463707e-05,0.0,0.0
1815,-4.5929849809391124e-05,0.0,-0.0
1819,6.123979974585483e-05,0.0,0.0
1820,0.0,0.0,1.0
1822,1.5309949936463707e-05,0.0,0.0
1824,-0.0001837193992375645,0.0,-0.0
1826,-0.00013778954942817337,0.0,-0.0
1832,-0.00033681889860220156,0.0,-0.0
1835,-0.00022964924904695562,0.0,-0.0
1837,-0.0003827487484115927,0.0,-0.0
1840,-0.00029088904879281046,0.0,-0.0
1842,-0.0004899183979668386,0.0,-0.0
1844,-0.0004133686482845201,0.0,-0.0
1846,-0.0005205382978397661,0.0,-0.0
1852,-0.00013778954942817337,0.0,-0.0
1853,-0.0001530994993646371,0.0,-0.0
1855,-1.5309949936463707e-05,0.0,-0.0
1856,-0.00010716964955524595,0.0,-0.0
1858,0.0,0.0,1.0
1867,-0.0005358482477762298,0.0,-0.0
1868,-0.0004899183979668386,0.0,-0.0
1870,-0.0005511581977126935,0.0,-0.0
1879,-0.00013778954942817337,0.0,-0.0
1881,-0.00022964924904695562,0.0,-0.0
1882,-0.0002143392991104919,0.0,-0.0
1884,-0.00022964924904695562,0.0,-0.0
1886,-4.5929849809391124e-05,0.0,-0.0
1887,-0.0001530994993646371,0.0,-0.0
1890,-3.0619899872927414e-05,0.0,-0.0
1892,-0.0001530994993646371,0.0,-0.0
1894,-1.5309949936463707e-05,0.0,-0.0
1895,-0.00013778954942817337,0.0,-0.0
1896,-0.00010716964955524595,0.0,-0.0
1898,-0.00013778954942817337,0.0,-0.0
1899,-7.654974968231854e-05,0.0,-0.0
1901,-0.0002143392991104919,0.0,-0.0
1904,-1.5309949936463707e-05,0.0,-0.0
1906,-0.00010716964955524595,0.0,-0.0
1913,0.00019902934917402821,0.0,0.0
1917,-4.5929849809391124e-05,0.0,-0.0
1919,0.0,0.0,1.0
1921,-0.0002449591989834193,0.0,-0.0
1922,-0.0002143392991104919,0.0,-0.0
1926,-0.0005205382978397661,0.0,-0.0
1927,-0.00045929849809391124,0.0,-0.0
1934,-0.0007808074467596491,0.0,-0.0
1935,-0.0007501875468867217,0.0,-0.0
1936,-0.0007654974968231854,0.0,-0.0
1938,-0.0006889477471408668,0.0,-0.0
1939,-0.000734877596950258,0.0,-0.0
1941,-0.0006736377972044031,0.0,-0.0
1942,-0.0007042576970773306,0.0,-0.0
1944,-0.0005970880475220846,0.0,-0.0
1945,-0.000627707947395012,0.0,-0.0
1952,0.0,0.0,1.0
1956,-0.00012247959949170966,0.0,-0.0
1957,-6.123979974585483e-05,0.0,-0.0
1961,-0.00016840944930110078,0.0,-0.0
1966,-1.5309949936463707e-05,0.0,-0.0
1967,-4.5929849809391124e-05,0.0,-0.0
1968,3.0619899872927414e-05,0.0,0.0
1970,-1.5309949936463707e-05,0.0,-0.0
1971,6.123979974585483e-05,0.0,0.0
1972,4.5929849809391124e-05,0.0,0.0
1974,0.00010716964955524595,0.0,0.0
1980,-0.0003521288485386653,0.0,-0.0
1983,-0.0003061989987292742,0.0,-0.0
1985,-0.0005205382978397661,0.0,-0.0
1987,-0.00022964924904695562,0.0,-0.0
1999,-0.0007808074467596491,0.0,-0.0
2008,0.00016840944930110078,0.0,0.0
2010,4.5929849809391124e-05,0.0,0.0
2012,0.0002143392991104919,0.0,0.0
2014,1.5309949936463707e-05,0.0,0.0
2017,0.00010716964955524595,0.0,0.0
2020,0.0,0.0,1.0
2023,0.00027557909885634675,0.0,0.0
2025,0.00022964924904695562,0.0,0.0
2027,0.0005664681476491572,0.0,0.0
2029,0.0004439885481574475,0.0,0.0
2031,0.0005511581977126935,0.0,0.0
2033,0.00033681889860220156,0.0,0.0
2034,0.0003521288485386653,0.0,0.0
2036,0.00013778954942817337,0.0,0.0
2037,0.00032150894866573784,0.0,0.0
2039,0.00016840944930110078,0.0,0.0
2041,0.00029088904879281046,0.0,0.0
2047,-0.00013778954942817337,0.0,-0.0
2048,-0.00012247959949170966,0.0,-0.0
2058,-0.000995146745870141,0.0,-0.0
2059,-0.0007961173966961129,0.0,-0.0
2061,-0.0008573571964419676,0.0,-0.0
2065,-0.0002449591989834193,0.0,-0.0
2066,-0.00026026914891988303,0.0,-0.0
2072,1.5309949936463707e-05,0.0,0.0
2074,-6.123979974585483e-05,0.0,-0.0
2076,6.123979974585483e-05,0.0,0.0
2078,-4.5929849809391124e-05,0.0,-0.0
2082,0.0002143392991104919,0.0,0.0
2085,7.654974968231854e-05,0.0,0.0
2087,0.0003061989987292742,0.0,0.0
2088,0.00019902934917402821,0.0,0.0
2089,0.0002449591989834193,0.0,0.0
2090,0.00022964924904695562,0.0,0.0
2092,0.00047460844803037496,0.0,0.0
2094,0.0002143392991104919,0.0,0.0
2095,0.00022964924904695562,0.0,0.0
2099,-7.654974968231854e-05,0.0,-0.0
2101,-3.0619899872927414e-05,0.0,-0.0
2102,-0.00013778954942817337,0.0,-0.0
2104,1.5309949936463707e-05,0.0,0.0
2105,0.0,0.0,1.0
2106,7.654974968231854e-05,0.0,0.0
2108,-0.00010716964955524595,0.0,-0.0
2109,-1.5309949936463707e-05,0.0,-0.0
2114,-0.00019902934917402821,0.0,-0.0
2118,0.0001837193992375645,0.0,0.0
2119,9.185969961878225e-05,0.0,0.0
2121,0.000367438798475129,0.0,0.0
2123,0.0002143392991104919,0.0,0.0
2125,0.0003521288485386653,0.0,0.0
2126,0.0001530994993646371,0.0,0.0
2128,0.00026026914891988303,0.0,0.0
2131,-6.123979974585483e-05,0.0,-0.0
2134,0.00013778954942817337,0.0,0.0
2135,9.185969961878225e-05,0.0,0.0
2139,0.0003827487484115927,0.0,0.0
2140,0.00016840944930110078,0.0,0.0
2142,0.0005511581977126935,0.0,0.0
2144,-4.5929849809391124e-05,0.0,-0.0
2145,0.0002143392991104919,0.0,0.0
2146,-0.0002143392991104919,0.0,-0.0
2148,4.5929849809391124e-05,0.0,0.0
2149,-0.00019902934917402821,0.0,-0.0
2150,-3.0619899872927414e-05,0.0,-0.0
2151,-7.654974968231854e-05,0.0,-0.0
2152,0.0001530994993646371,0.0,0.0
2154,-0.0005970880475220846,0.0,-0.0
2156,-0.0003521288485386653,0.0,-0.0
2157,-0.0003827487484115927,0.0,-0.0
2158,-0.00022964924904695562,0.0,-0.0
2160,-0.0004133686482845201,0.0,-0.0
2164,0.00026026914891988303,0.0,0.0
2165,-0.00026026914891988303,0.0,-0.0
2166,-3.0619899872927414e-05,0.0,-0.0
2168,-0.00039805869834805643,0.0,-0.0
2169,-0.00016840944930110078,0.0,-0.0
2170,-0.000367438798475129,0.0,-0.0
2172,0.00029088904879281046,0.0,0.0
2174,1.5309949936463707e-05,0.0,0.0
2178,0.0006583278472679394,0.0,0.0
2181,0.000367438798475129,0.0,0.0
2183,0.000887977096314895,0.0,0.0
2185,0.0003827487484115927,0.0,0.0
2186,0.00045929849809391124,0.0,0.0
2187,0.00022964924904695562,0.0,0.0
2188,0.00039805869834805643,0.0,0.0
2189,0.00019902934917402821,0.0,0.0
2191,0.0005817780975856209,0.0,0.0
2193,-7.654974968231854e-05,0.0,-0.0
2195,7.654974968231854e-05,0.0,0.0
2198,-0.000734877596950258,0.0,-0.0
